GEONAME,CRASH_TYPE_CD,VARIABLE,VALUE
Knox County,Other Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Knox County,Overturning,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Knox County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Knox County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Knox County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_FATAL,0.034482758620689655
Knox County,Rear End,GEO_CRASHTYPE_SHARE_OF_FATAL,0.034482758620689655
Knox County,Right Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Knox County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Knox County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.034482758620689655
Knox County,Unknown,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Licking County,Angle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.15555555555555556
Licking County,Animal,GEO_CRASHTYPE_SHARE_OF_FATAL,0.022222222222222223
Licking County,Backing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Licking County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.34444444444444444
Licking County,Head On,GEO_CRASHTYPE_SHARE_OF_FATAL,0.08888888888888889
Licking County,Left Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.06666666666666667
Licking County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Licking County,Other Non-Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Licking County,Other Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Licking County,Overturning,GEO_CRASHTYPE_SHARE_OF_FATAL,0.03333333333333333
Licking County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.05555555555555555
Licking County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Licking County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_FATAL,0.08888888888888889
Licking County,Rear End,GEO_CRASHTYPE_SHARE_OF_FATAL,0.08888888888888889
Licking County,Right Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.022222222222222223
Licking County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Licking County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.03333333333333333
Licking County,Train,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Licking County,Unknown,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Angle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.1388888888888889
Madison County,Animal,GEO_CRASHTYPE_SHARE_OF_FATAL,0.027777777777777776
Madison County,Backing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.3888888888888889
Madison County,Head On,GEO_CRASHTYPE_SHARE_OF_FATAL,0.19444444444444445
Madison County,Left Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Other Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Overturning,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.027777777777777776
Madison County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_FATAL,0.05555555555555555
Madison County,Rear End,GEO_CRASHTYPE_SHARE_OF_FATAL,0.16666666666666666
Madison County,Right Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Madison County,Unknown,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Marion County,Angle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.24444444444444444
Marion County,Animal,GEO_CRASHTYPE_SHARE_OF_FATAL,0.044444444444444446
Marion County,Backing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Marion County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.35555555555555557
Marion County,Head On,GEO_CRASHTYPE_SHARE_OF_FATAL,0.044444444444444446
Marion County,Left Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.06666666666666667
Marion County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_FATAL,0.044444444444444446
Marion County,Other Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Marion County,Overturning,GEO_CRASHTYPE_SHARE_OF_FATAL,0.022222222222222223
Marion County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.022222222222222223
Marion County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Marion County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_FATAL,0.06666666666666667
Marion County,Rear End,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Marion County,Right Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Marion County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Marion County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.08888888888888889
Marion County,Train,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Marion County,Unknown,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Morrow County,Angle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.18181818181818182
Morrow County,Animal,GEO_CRASHTYPE_SHARE_OF_FATAL,0.030303030303030304
Morrow County,Backing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Morrow County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.24242424242424243
Morrow County,Head On,GEO_CRASHTYPE_SHARE_OF_FATAL,0.18181818181818182
Morrow County,Left Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.030303030303030304
Morrow County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Morrow County,Other Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Morrow County,Overturning,GEO_CRASHTYPE_SHARE_OF_FATAL,0.030303030303030304
Morrow County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.06060606060606061
Morrow County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Morrow County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_FATAL,0.030303030303030304
Morrow County,Rear End,GEO_CRASHTYPE_SHARE_OF_FATAL,0.15151515151515152
Morrow County,Right Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Morrow County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Morrow County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.06060606060606061
Morrow County,Unknown,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Pickaway County,Angle,GEO_CRASHTYPE_SHARE_OF_FATAL,0.1346153846153846
Pickaway County,Animal,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Pickaway County,Backing,GEO_CRASHTYPE_SHARE_OF_FATAL,0.0
Pickaway County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_FATAL,0.36538461538461536
Pickaway County,Head On,GEO_CRASHTYPE_SHARE_OF_FATAL,0.11538461538461539
Pickaway County,Left Turn,GEO_CRASHTYPE_SHARE_OF_FATAL,0.019230769230769232
