GEONAME,YEAR,VARIABLE,VALUE
10-County Region,2020,GEO_YEAR_FATAL_RATE,5.453470879002794
10-County Region,2021,GEO_YEAR_FATAL_RATE,5.195261519927718
10-County Region,2022,GEO_YEAR_FATAL_RATE,5.484368286703566
10-County Region,2023,GEO_YEAR_FATAL_RATE,5.348949223008087
Union County,2019,GEO_YEAR_FATAL_RATE,2.3715415019762847
Union County,2020,GEO_YEAR_FATAL_RATE,7.207207207207206
Union County,2021,GEO_YEAR_FATAL_RATE,3.912363067292645
Union County,2022,GEO_YEAR_FATAL_RATE,5.003573981415297
Union County,2023,GEO_YEAR_FATAL_RATE,6.177606177606178
Delaware County,2019,GEO_YEAR_SERIOUS_RATE,16.712397106510352
Delaware County,2020,GEO_YEAR_SERIOUS_RATE,26.465028355387524
Delaware County,2021,GEO_YEAR_SERIOUS_RATE,23.249055507120023
Delaware County,2022,GEO_YEAR_SERIOUS_RATE,24.458813606972168
Delaware County,2023,GEO_YEAR_SERIOUS_RATE,23.242467718794835
Fairfield County,2019,GEO_YEAR_SERIOUS_RATE,28.378857750975524
Fairfield County,2020,GEO_YEAR_SERIOUS_RATE,33.98470688190314
Fairfield County,2021,GEO_YEAR_SERIOUS_RATE,34.77643718949609
Fairfield County,2022,GEO_YEAR_SERIOUS_RATE,25.20692249811889
Fairfield County,2023,GEO_YEAR_SERIOUS_RATE,37.29933899905571
Franklin County,2019,GEO_YEAR_SERIOUS_RATE,17.100263080970475
Franklin County,2020,GEO_YEAR_SERIOUS_RATE,25.759516837481698
Franklin County,2021,GEO_YEAR_SERIOUS_RATE,28.284070446659936
Franklin County,2022,GEO_YEAR_SERIOUS_RATE,23.679095246509984
Franklin County,2023,GEO_YEAR_SERIOUS_RATE,23.312987453374028
Knox County,2019,GEO_YEAR_SERIOUS_RATE,29.1970802919708
Knox County,2020,GEO_YEAR_SERIOUS_RATE,26.36916835699797
Knox County,2021,GEO_YEAR_SERIOUS_RATE,25.112107623318387
Knox County,2022,GEO_YEAR_SERIOUS_RATE,29.064486830154404
Knox County,2023,GEO_YEAR_SERIOUS_RATE,25.689819219790678
Licking County,2019,GEO_YEAR_SERIOUS_RATE,19.409513395297978
Licking County,2020,GEO_YEAR_SERIOUS_RATE,29.774436090225564
Licking County,2021,GEO_YEAR_SERIOUS_RATE,29.786081776333603
Licking County,2022,GEO_YEAR_SERIOUS_RATE,38.717133776365216
Licking County,2023,GEO_YEAR_SERIOUS_RATE,31.151667715544367
Madison County,2019,GEO_YEAR_SERIOUS_RATE,39.79678238780694
Madison County,2020,GEO_YEAR_SERIOUS_RATE,34.55497382198953
Madison County,2021,GEO_YEAR_SERIOUS_RATE,45.45454545454545
Madison County,2022,GEO_YEAR_SERIOUS_RATE,46.30541871921183
Madison County,2023,GEO_YEAR_SERIOUS_RATE,51.03969754253308
Marion County,2019,GEO_YEAR_SERIOUS_RATE,19.335347432024168
Marion County,2020,GEO_YEAR_SERIOUS_RATE,19.528619528619526
Marion County,2021,GEO_YEAR_SERIOUS_RATE,29.375
Marion County,2022,GEO_YEAR_SERIOUS_RATE,22.79924002533249
Marion County,2023,GEO_YEAR_SERIOUS_RATE,26.455026455026456
Morrow County,2019,GEO_YEAR_SERIOUS_RATE,32.563025210084035
Morrow County,2020,GEO_YEAR_SERIOUS_RATE,22.140221402214024
Morrow County,2021,GEO_YEAR_SERIOUS_RATE,35.16998827667057
Morrow County,2022,GEO_YEAR_SERIOUS_RATE,26.285714285714285
Morrow County,2023,GEO_YEAR_SERIOUS_RATE,30.368763557483728
Pickaway County,2019,GEO_YEAR_SERIOUS_RATE,34.17533432392273
Pickaway County,2020,GEO_YEAR_SERIOUS_RATE,37.735849056603776
Pickaway County,2021,GEO_YEAR_SERIOUS_RATE,32.634032634032636
Pickaway County,2022,GEO_YEAR_SERIOUS_RATE,41.990668740279936
Pickaway County,2023,GEO_YEAR_SERIOUS_RATE,46.116504854368934
10-County Region,2019,GEO_YEAR_SERIOUS_RATE,19.56887326096927
10-County Region,2020,GEO_YEAR_SERIOUS_RATE,26.944981732215776
10-County Region,2021,GEO_YEAR_SERIOUS_RATE,29.038249171769902
10-County Region,2022,GEO_YEAR_SERIOUS_RATE,26.79000176915106
10-County Region,2023,GEO_YEAR_SERIOUS_RATE,26.617993763784316
Union County,2019,GEO_YEAR_SERIOUS_RATE,22.924901185770754
Union County,2020,GEO_YEAR_SERIOUS_RATE,24.324324324324323
Union County,2021,GEO_YEAR_SERIOUS_RATE,25.821596244131456
Union County,2022,GEO_YEAR_SERIOUS_RATE,31.451036454610435
Union County,2023,GEO_YEAR_SERIOUS_RATE,27.027027027027028
